Player,Age,Team,Pos,FGA,X3PA,X2PA,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Shai Gilgeous-Alexander,26,OKC,PG,1656,435,1221,669,67,312,379,486,131,77,183,164,2484,38333050
Anthony Edwards,23,MIN,SG,1612,811,801,496,61,389,450,359,91,51,249,150,2177,45550512
Nikola Jokić,29,DEN,C,1364,331,1033,451,200,692,892,716,127,45,230,160,2071,55224526
Giannis Antetokounmpo,30,MIL,PF,1319,63,1256,707,147,651,798,433,58,78,206,155,2036,54126450
Jayson Tatum,26,BOS,PF,1465,728,737,440,48,575,623,431,76,38,209,157,1932,54126450
Devin Booker,28,PHO,SG,1420,551,869,483,76,229,305,529,67,16,220,198,1923,53142264
Trae Young,26,ATL,PG,1376,642,734,561,36,200,236,880,91,12,355,145,1841,45999660
Tyler Herro,25,MIA,SG,1378,670,708,327,35,364,399,424,69,17,198,85,1840,31000000
Cade Cunningham,23,DET,PG,1457,418,1039,370,56,369,425,638,71,53,309,195,1830,46394100
James Harden,35,LAC,PG,1295,668,627,578,55,401,456,687,118,55,341,162,1802,39182693
Karl-Anthony Towns,29,NYK,C,1215,338,877,409,212,708,920,222,71,50,192,249,1759,53142264
Zach LaVine,29,2TM,SG,1223,536,687,285,22,293,315,310,58,12,208,121,1724,47499660
Jalen Green,22,HOU,SG,1437,661,776,336,45,332,377,282,71,27,203,127,1723,33584499
Stephen Curry,36,GSW,PG,1258,784,474,299,40,270,310,421,80,30,200,95,1718,59606817
DeMar DeRozan,35,SAC,SF,1308,256,1052,441,50,248,298,342,62,32,105,150,1710,24570000
LeBron James,40,LAL,SF,1270,396,874,331,72,474,546,575,70,39,260,99,1710,52627153
Donovan Mitchell,28,CLE,SG,1320,633,687,362,57,265,322,354,95,17,149,140,1701,46394100
Jalen Brunson,28,NYK,PG,1200,397,803,448,27,160,187,475,60,8,164,138,1690,34944001
Kevin Durant,36,PHO,PF,1124,372,752,361,23,351,374,263,50,77,190,104,1647,54708609
Jaren Jackson Jr.,25,MEM,C,1213,389,824,398,91,326,417,148,92,113,153,257,1641,35000000
Pascal Siakam,30,IND,PF,1182,324,858,308,133,407,540,263,70,42,109,189,1578,45550512
Darius Garland,25,CLE,PG,1174,529,645,255,47,167,214,506,91,11,189,143,1544,39446090
Coby White,24,CHI,SG,1121,584,537,307,25,248,273,330,69,16,177,154,1509,12888889
Jalen Williams,23,OKC,SG,1168,340,828,299,59,310,369,354,111,46,150,158,1490,6580997
Austin Reaves,26,LAL,SG,1037,531,506,366,61,268,329,421,81,22,177,151,1475,13937574
De'Aaron Fox,27,2TM,PG,1163,381,782,318,54,244,298,392,91,25,174,164,1459,37096620
Alperen Şengün,22,HOU,C,1143,90,1053,428,262,524,786,372,84,61,194,209,1451,33944954
Franz Wagner,23,ORL,SF,1161,352,809,311,56,286,342,284,75,21,138,147,1449,38661750
Damian Lillard,34,MIL,PG,992,524,468,393,29,243,272,410,70,10,162,97,1447,68230450
Mikal Bridges,28,NYK,SF,1183,463,720,118,71,188,259,306,75,43,132,127,1444,24900000
Jamal Murray,27,DEN,PG,1121,397,724,246,45,216,261,403,91,33,138,128,1436,46394100
Bam Adebayo,27,MIA,C,1113,221,892,328,185,564,749,337,98,53,161,162,1410,37096620
Luka Dončić,25,2TM,PG,1025,481,544,395,40,369,409,383,89,21,179,126,1408,45999660
Jaylen Brown,28,BOS,SF,1118,358,760,322,82,286,368,286,73,19,162,154,1398,53142264
Michael Porter Jr.,26,DEN,SF,1048,489,559,194,138,402,540,165,50,38,104,157,1398,38333050
Jordan Poole,25,WAS,SG,1057,622,435,274,31,172,203,303,86,27,204,201,1391,31848215
Tyrese Maxey,24,PHI,PG,1091,478,613,289,15,159,174,317,91,21,124,116,1369,37958760
Tyrese Haliburton,24,IND,PG,1006,562,444,222,42,216,258,673,105,49,120,92,1359,45550512
Nikola Vučević,34,CHI,C,1038,321,717,149,178,557,735,256,61,52,119,163,1349,21481481
Anfernee Simons,25,POR,SG,1125,593,532,194,25,164,189,337,60,5,143,117,1348,27678571
Ivica Zubac,27,LAC,C,942,0,942,236,300,710,1010,214,55,90,127,168,1340,18102000
Domantas Sabonis,28,SAC,C,893,156,737,289,267,705,972,423,48,26,202,229,1337,42336000
Shaedon Sharpe,21,POR,SG,1104,472,632,242,68,256,324,198,62,16,150,120,1335,8399983
OG Anunoby,27,NYK,PF,1027,460,567,226,97,261,358,164,110,65,102,172,1332,39568966
Desmond Bane,26,MEM,SG,1018,418,600,198,62,356,418,369,80,28,169,164,1327,36725670
Evan Mobley,23,CLE,PF,906,230,676,305,164,495,659,226,61,113,145,141,1316,46394100
Norman Powell,31,LAC,SG,945,428,517,265,21,169,190,125,73,9,108,114,1306,20482758
Miles Bridges,26,CHO,PF,1089,450,639,254,72,409,481,248,44,45,136,93,1300,25000000
Julius Randle,30,MIN,PF,939,314,625,335,144,343,487,323,47,16,196,175,1288,30864198
Anthony Davis,31,2TM,C,910,124,786,369,134,456,590,181,59,110,113,98,1261,54126450
Scottie Barnes,23,TOR,PF,1063,280,783,302,109,393,502,378,93,63,185,113,1252,38661750
Derrick White,30,BOS,SG,959,691,268,161,67,274,341,361,72,80,131,138,1248,28100000
Kyrie Irving,32,DAL,SG,945,359,586,214,60,180,240,231,66,23,111,101,1234,36566002
RJ Barrett,24,TOR,SF,982,306,676,311,61,305,366,314,46,17,165,137,1223,27705357
Deni Avdija,24,POR,SF,844,342,502,372,110,412,522,281,71,35,196,171,1219,14375000
Christian Braun,23,DEN,SG,821,224,597,214,98,312,410,205,85,37,81,170,1218,4921797
Paolo Banchero,22,ORL,PF,911,272,639,385,51,294,345,219,36,28,136,97,1191,15334769
Stephon Castle,20,SAS,SG,988,333,655,344,89,208,297,332,74,22,177,164,1190,9560520
LaMelo Ball,23,CHO,PG,1003,528,475,229,47,185,232,346,54,13,167,157,1184,37958760
CJ McCollum,33,NOP,PG,1000,459,541,173,42,170,212,227,46,24,106,124,1183,30666666
Ja Morant,25,MEM,PG,889,285,604,319,34,171,205,364,61,12,185,113,1159,39446090
Collin Sexton,26,UTA,SG,867,271,596,251,60,111,171,264,47,6,160,144,1159,18975000
Bennedict Mathurin,22,IND,SF,853,288,565,332,87,296,383,136,47,24,135,162,1156,9187573
Payton Pritchard,27,BOS,PG,866,626,240,84,102,205,307,279,70,14,83,118,1144,7232143
Naz Reid,25,MIN,C,923,462,461,143,92,388,480,181,58,72,108,189,1138,21551724
Keyonte George,21,UTA,PG,919,507,412,285,26,227,253,377,46,9,183,111,1125,4278960
Trey Murphy III,24,NOP,SF,839,438,401,230,47,221,268,188,56,39,103,112,1124,25000000
Myles Turner,28,IND,C,811,394,417,238,90,381,471,111,54,144,123,183,1120,25318251
Malik Monk,26,SAC,SG,939,428,511,178,30,215,245,362,61,38,159,158,1117,18797619
Victor Wembanyama,21,SAS,C,857,403,454,189,82,424,506,168,52,176,149,105,1116,13376880
Jarrett Allen,26,CLE,C,640,5,635,277,216,582,798,158,77,73,97,127,1103,20000000
Quentin Grimes,24,2TM,SG,823,421,402,214,59,265,324,228,74,22,141,138,1092,8741209
De'Andre Hunter,27,2TM,SF,762,388,374,254,44,214,258,92,50,13,82,155,1088,23303571
Andrew Wiggins,29,2TM,SF,839,348,491,257,89,180,269,158,60,50,99,101,1078,28223215
Dyson Daniels,21,ATL,SG,923,235,688,140,124,325,449,333,229,55,155,175,1073,7707709
Cameron Johnson,28,BRK,PF,747,408,339,225,54,193,247,194,53,25,99,104,1070,21057065
Dillon Brooks,29,HOU,SF,895,469,426,121,75,200,275,128,60,16,76,242,1053,21124110
Josh Hart,29,NYK,SG,770,252,518,205,161,576,737,453,119,27,158,201,1051,19472240
Brook Lopez,36,MIL,C,774,373,401,138,113,288,401,143,50,148,84,171,1041,8750000
Devin Vassell,24,SAS,SG,889,429,460,120,34,221,255,183,84,33,88,108,1041,27000000
Josh Giddey,22,CHI,PG,798,278,520,224,127,439,566,503,84,45,202,122,1022,25000000
Harrison Barnes,32,SAS,PF,683,360,323,199,97,213,310,136,39,14,50,75,1011,19000000
Klay Thompson,34,DAL,SF,877,553,324,74,44,202,246,145,50,30,88,81,1005,16666667
Tobias Harris,32,DET,PF,805,264,541,166,65,367,432,162,74,57,85,138,1002,26634146
Jaden McDaniels,24,MIN,PF,834,303,531,128,129,341,470,163,110,74,95,225,1000,24393104
Onyeka Okongwu,24,ATL,C,684,148,536,216,220,440,660,168,69,68,90,193,988,15000000
Dennis Schröder,31,3TM,PG,827,371,456,216,27,171,198,404,66,12,142,180,980,14104000
Dennis Schröder,31,BRK,PG,325,150,175,81,4,64,68,152,26,4,59,56,424,14104000
Dennis Schröder,31,GSW,SG,251,115,136,39,10,46,56,105,25,3,48,67,254,14104000
Dennis Schröder,31,DET,PG,251,106,145,96,13,61,74,147,15,5,35,57,302,14104000
Keldon Johnson,25,SAS,SF,770,274,496,194,112,259,371,125,49,22,77,115,979,17500000
Amen Thompson,22,HOU,SF,697,91,606,247,192,372,564,265,97,89,138,167,970,9690600
Jimmy Butler,35,2TM,SF,597,104,493,392,125,171,296,298,77,18,74,52,964,54126450
Kyle Kuzma,29,2TM,PF,848,313,535,202,54,316,370,152,36,19,146,119,964,22410605
Keegan Murray,24,SAC,PF,820,449,371,72,146,361,507,109,61,69,60,186,942,11144093
Zaccharie Risacher,19,ATL,SF,779,344,435,149,86,182,268,92,52,37,92,149,942,13197720
Jalen Duren,21,DET,C,546,0,546,242,277,530,807,209,54,89,136,251,918,6483144
Naji Marshall,27,DAL,SF,712,218,494,160,76,252,328,208,70,11,112,109,914,9000000
Aaron Wiggins,26,OKC,SG,728,339,389,89,81,214,295,134,60,18,69,101,914,10102803
Buddy Hield,32,GSW,SG,786,549,237,64,51,213,264,134,69,23,91,132,912,9219512
Kelly Oubre Jr.,29,PHI,SF,741,242,499,185,97,271,368,108,92,30,80,180,906,8382150
Bradley Beal,31,PHO,SG,694,264,430,137,34,143,177,195,58,28,99,136,902,59020270
Lauri Markkanen,27,UTA,PF,700,399,301,185,72,206,278,70,33,17,66,79,892,46394100
Toumani Camara,24,POR,PF,716,360,356,126,173,277,450,175,116,50,109,230,882,2221677
Ty Jerome,27,CLE,SG,618,253,365,148,50,123,173,237,78,3,92,102,878,8781000
Alex Sarr,19,WAS,C,828,341,487,165,124,311,435,161,44,101,114,146,869,11808240
Rudy Gobert,32,MIN,C,510,0,510,273,265,520,785,127,56,104,89,182,866,35000000
Tim Hardaway Jr.,32,DET,SG,680,457,223,145,18,165,183,123,38,7,48,96,844,2296274
Fred VanVleet,30,HOU,PG,759,461,298,137,32,189,221,333,94,25,87,140,844,25000000
Jonas Valančiūnas,32,2TM,C,627,37,590,165,190,437,627,164,37,46,120,181,843,10395000
Keon Johnson,22,BRK,SG,779,401,378,139,63,234,297,175,82,30,116,209,839,2349578
Scoot Henderson,20,POR,PG,685,297,388,206,52,146,198,335,68,13,177,181,837,10748040
P.J. Washington,26,DAL,PF,665,239,426,198,82,360,442,131,63,60,118,131,836,14152174
Obi Toppin,26,IND,PF,599,301,298,114,56,262,318,128,46,28,68,108,833,14000000
Tyus Jones,28,PHO,PG,683,401,282,57,40,156,196,429,69,8,91,63,829,7000000
Jakob Poeltl,29,TOR,C,579,3,576,144,189,358,547,158,66,71,111,176,824,19500000
Gary Trent Jr.,26,MIL,SG,657,433,224,92,20,148,168,87,72,4,42,124,824,3697105
Jaylen Wells,21,MEM,SG,676,392,284,135,87,181,268,135,44,8,69,146,823,1955377
Kristaps Porziņģis,29,BOS,C,574,250,324,199,68,216,284,87,31,63,53,116,818,30731707
Duncan Robinson,30,MIA,SF,663,483,180,53,18,149,167,176,40,6,86,135,817,26722692
Julian Champagnie,23,SAS,SF,665,480,185,94,67,251,318,111,61,35,74,114,815,3000000
Santi Aldama,24,MEM,PF,648,326,322,94,94,322,416,188,52,29,71,76,811,18485916
Bub Carrington,19,WAS,PG,748,407,341,85,33,308,341,364,54,21,141,190,807,4677600
Kawhi Leonard,33,LAC,SF,623,190,433,121,35,184,219,116,59,17,72,56,796,50000000
Georges Niang,31,2TM,PF,620,409,211,58,47,225,272,111,28,14,82,201,784,8200000
Derrick Jones Jr.,27,LAC,SF,589,219,370,118,93,170,263,60,79,33,66,153,781,10000000
Scotty Pippen Jr.,24,MEM,PG,594,219,375,171,65,194,259,347,103,30,138,203,779,2270735
Gradey Dick,21,TOR,SG,647,326,321,155,44,149,193,98,48,10,83,120,777,4990560
Caris LeVert,30,2TM,SG,599,284,315,155,41,162,203,215,57,33,76,99,776,14104000
Rui Hachimura,26,LAL,PF,576,247,329,113,79,216,295,83,45,26,49,105,775,18259259
Nickeil Alexander-Walker,26,MIN,SG,616,370,246,118,54,211,265,223,50,34,99,139,773,15161800
Brice Sensabaugh,21,UTA,SF,599,372,227,73,42,168,210,110,46,8,107,111,772,2693760
Kevin Porter Jr.,24,2TM,SG,652,177,475,169,42,236,278,256,81,13,136,119,771,5134000
Guerschon Yabusele,29,PHI,C,563,274,289,138,134,261,395,148,58,24,87,164,768,5500000
John Collins,27,UTA,PF,531,148,383,164,89,238,327,80,39,40,103,116,758,26580000
Isaiah Joe,25,OKC,SG,588,466,122,56,41,155,196,119,48,9,38,113,756,12362338
Jalen Wilson,24,BRK,PF,620,362,258,165,75,195,270,145,40,5,79,164,749,2221677
Max Christie,21,2TM,SG,590,314,276,152,38,220,258,146,64,31,88,115,749,7714286
Aaron Gordon,29,DEN,PF,497,172,325,179,80,167,247,164,23,14,73,82,748,22841455
Brandin Podziemski,21,GSW,SG,629,309,320,95,65,260,325,220,69,13,75,95,747,3687960
Zion Williamson,24,NOP,PF,508,13,495,241,76,140,216,159,37,27,90,82,737,39446090
Anthony Black,21,ORL,PG,620,195,425,197,52,178,230,240,86,48,139,166,736,7970280
D'Angelo Russell,28,2TM,PG,638,360,278,145,20,142,162,297,56,23,108,115,732,5685000
Bilal Coulibaly,20,WAS,SF,624,224,400,185,91,203,294,199,78,41,125,139,727,7275600
Nic Claxton,25,BRK,C,568,21,547,154,157,358,515,157,62,100,87,150,724,25352272
Moses Moody,22,GSW,SG,568,337,231,133,52,137,189,96,59,31,54,116,724,11574075
Donte DiVincenzo,28,MIN,SG,593,438,155,63,32,196,228,225,73,17,99,114,723,11990000
Chris Paul,39,SAS,PG,583,371,212,92,33,263,296,605,103,22,129,151,723,2296274
T.J. McConnell,32,IND,PG,624,49,575,77,44,149,193,351,83,21,109,79,720,10200000
Luguentz Dort,25,OKC,SF,593,413,180,46,89,204,293,115,79,39,51,208,719,18222222
Jonathan Kuminga,22,GSW,PF,568,151,417,235,56,161,217,104,38,21,71,90,719,22500000
Dalton Knecht,23,LAL,SF,557,340,217,84,37,179,216,66,24,8,37,93,706,4010160
Corey Kispert,25,WAS,SF,565,330,235,88,36,145,181,103,26,14,64,98,705,13975000
Daniel Gafford,26,DAL,C,403,0,403,196,155,233,388,80,23,102,66,152,701,14386320
Jabari Smith Jr.,21,HOU,PF,566,277,289,126,105,294,399,60,25,41,61,123,698,12350392
Amir Coffey,27,LAC,SG,510,247,263,129,32,129,161,77,40,7,45,120,696,2296274
Kyle Filipowski,21,UTA,C,518,220,298,143,112,328,440,140,48,22,102,171,690,3000000
Matas Buzelis,20,CHI,SF,555,266,289,108,55,223,278,79,29,75,74,128,688,5455560
Tari Eason,23,HOU,PF,559,184,375,104,128,234,362,83,97,50,65,136,686,5675766
Jrue Holiday,34,BOS,PG,573,306,267,77,76,189,265,239,66,27,77,101,686,32400000
Kevin Huerter,26,2TM,SG,604,391,213,49,30,175,205,156,66,23,67,121,681,17991071
Grayson Allen,29,PHO,SG,489,350,139,114,34,160,194,137,54,19,75,95,680,16875000
Jalen Johnson,23,ATL,SF,542,141,401,126,62,297,359,181,56,36,106,67,680,30000000
Royce O'Neale,31,PHO,SF,570,441,129,26,53,296,349,163,67,34,65,151,680,10125000
Bobby Portis,29,MIL,PF,595,178,417,73,90,321,411,104,35,26,57,94,680,13445754
Terry Rozier,30,MIA,PG,635,308,327,108,44,194,238,167,37,14,78,73,679,26643031
Jerami Grant,30,POR,PF,574,296,278,166,26,137,163,101,41,46,65,109,677,32000001
Kentavious Caldwell-Pope,31,ORL,SG,544,330,214,95,33,136,169,136,99,34,62,136,673,21621500
Mark Williams,23,CHO,C,447,4,443,163,132,315,447,109,32,54,71,105,671,6276531
Ochai Agbaji,24,TOR,SG,534,253,281,48,61,181,242,98,58,30,54,125,667,6383525
Keon Ellis,25,SAC,SG,464,321,143,86,60,152,212,120,121,63,71,176,666,2301587
Paul George,34,PHI,PF,570,268,302,97,24,195,219,178,75,20,106,101,665,51666090
Yves Missi,20,NOP,C,492,1,491,204,255,346,601,99,37,98,82,145,665,3353040
Taurean Prince,30,MIL,SF,514,335,179,48,34,253,287,155,76,15,82,165,656,3303774
Andrew Nembhard,25,IND,SG,539,175,364,136,34,182,216,326,79,11,112,149,653,18102000
Walker Kessler,23,UTA,C,419,34,385,152,266,441,707,97,36,138,86,130,641,4878938
Isaiah Hartenstein,26,OKC,C,480,19,461,117,163,448,611,219,47,62,96,171,637,28500000
Ziaire Williams,23,BRK,SF,520,302,218,123,61,226,287,84,62,28,67,149,632,6250000
Cole Anthony,24,ORL,PG,543,218,325,113,46,158,204,191,45,32,103,151,630,15396274
Wendell Carter Jr.,25,ORL,C,491,158,333,175,151,341,492,134,52,41,77,199,618,10850000
Jeremy Sochan,21,SAS,PF,469,91,378,125,127,225,352,128,45,27,84,131,617,7096231
Isaiah Collier,20,UTA,PG,555,169,386,154,32,203,235,446,66,16,208,149,615,2638200
Draymond Green,34,GSW,PF,509,246,263,147,74,340,414,383,99,70,174,219,613,25892857
Miles McBride,24,NYK,SG,547,312,235,64,47,114,161,187,67,17,41,108,611,4333333
Zach Edey,22,MEM,C,433,52,381,127,232,316,548,65,36,85,88,182,610,6045000
Sam Hauser,27,BOS,PF,474,399,75,11,44,180,224,64,41,13,23,87,605,10044644
Jordan Hawkins,22,NOP,SG,556,332,224,98,25,133,158,66,30,23,58,51,604,4741320
Jordan Clarkson,32,UTA,SG,493,232,261,143,25,93,118,138,31,9,86,52,600,16581988
Cam Thomas,23,BRK,SG,454,195,259,151,15,68,83,94,15,2,62,44,599,5993172
Kel'el Ware,20,MIA,C,464,111,353,67,116,357,473,60,39,71,57,111,595,4443360
